keyword,volume,kd,traffic_potential,competitor_top_position,competitor_domains,parent_topic,intent,source,question_subtype,serp_features,brand_fit,product_fit,serp_intent,dr_top10_median,weak_link_count,bid_verdict,bid_reason,has_aio,aio_completeness_score,aio_click_intent,aio_verdict,aio_reasoning,redteam_verdict,redteam_priority_delta,redteam_critique_summary,priority_score,notes,gap_mode
ai girlfriend app free,250,47,15000,,,ai girlfriend,informational,seed_modifier,,sitelink,9,8,commercial-investigation,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.50,"base=7.50 (T=6.00,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
dream ai girlfriend,450,32,15000,,,ai girlfriend,commercial,seed_modifier,,sitelink,9,8,informational,32,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.80,"base=7.80 (T=6.75,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend chat app,150,47,15000,,,ai girlfriend,commercial,seed_modifier,,snippet;sitelink,9,8,commercial-investigation,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.50,"base=7.50 (T=6.00,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
girlfriend ai free,250,24,15000,,,ai girlfriend,informational,seed_modifier,,sitelink;news;discussion,7,6,informational,24,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.76,"base=6.76 (T=7.15,BF=7,PF=6) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend free,14000,34,14000,3,nastia.ai,,informational,competitor_gap,,sitelink;discussion;video_th,9,8,informational,34,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.74,"base=7.74 (T=6.59,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai companion porn,100,48,14000,,,ai porn,commercial,seed_modifier,,,9,8,informational,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.46,"base=7.46 (T=5.89,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai companion free,350,58,14000,,,kindroid,informational,seed_modifier,,ai_overview;ai_overview_sitelink;image_th;question;sitelink;news,9,8,informational,58,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
uncensored ai generator,13000,38,13000,3,nastia.ai,,informational,competitor_gap,,,9,7,tool-led,38,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.33,"base=7.33 (T=6.33,BF=9,PF=7) boost=1.0 delta=+0.0",missing
free girlfriend ai,350,41,12000,,,ai girlfriend free,informational,seed_modifier,,discussion,7,6,informational,41,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.34,"base=6.34 (T=6.11,BF=7,PF=6) boost=0.0 delta=+0.0",seed_modifier
ai girlfriend generator,1100,44,11000,,,ai girls,commercial,seed_modifier,,sitelink;news;video_th,9,8,tool-led,44,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.45,"base=7.45 (T=5.88,BF=9,PF=8) boost=1.0 delta=+0.0",seed_modifier
free nsfw ai chat,8400,10,8400,13,candy.ai,,informational,competitor_gap,,sitelink,9,8,informational,10,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,8.04,"base=8.04 (T=7.35,BF=9,PF=8) boost=0.0 delta=+0.0",missing
free ai sex chat,7300,44,7300,6,nastia.ai,,informational,competitor_gap,,,9,8,informational,44,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.31,"base=7.31 (T=5.53,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai sex bot,6900,24,6900,8,nastia.ai,,informational,competitor_gap,,,9,8,informational,24,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.69,"base=7.69 (T=6.48,BF=9,PF=8) boost=0.0 delta=+0.0",missing
best nsfw ai companion,150,48,5400,,,nsfw bot,commercial,seed_modifier,,sitelink,9,8,commercial-investigation,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.13,"base=7.13 (T=5.06,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
nsfw chat,5000,54,5000,13,nastia.ai,,informational,competitor_gap,,sitelink,9,8,informational,54,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai sext,4800,37,4800,10,candy.ai,,informational,competitor_gap,,sitelink,9,4,informational,37,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.11,"base=6.11 (T=5.51,BF=9,PF=4) boost=0.0 delta=+0.0",missing
ai chat sex,4800,58,4800,13,nastia.ai,,commercial,competitor_gap,,,9,8,informational,58,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
nsfw chatbot,4700,17,4700,13,candy.ai,,informational,competitor_gap,,sitelink,9,8,informational,17,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.70,"base=7.70 (T=6.49,BF=9,PF=8) boost=0.0 delta=+0.0",missing
uncensored ai image generator,4400,47,4400,8,nastia.ai,,informational,competitor_gap,,sitelink,9,7,tool-led,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.77,"base=6.77 (T=4.94,BF=9,PF=7) boost=1.0 delta=+0.0",missing
free ai sexting,4200,40,4200,2,nastia.ai,,informational,competitor_gap,,,9,8,informational,40,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.20,"base=7.20 (T=5.25,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai girlfriends,4000,37,4000,12,nastia.ai,,commercial,competitor_gap,,,9,8,informational,37,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.24,"base=7.24 (T=5.35,BF=9,PF=8) boost=0.0 delta=+0.0",missing
best ai companion apps,250,6,3600,,,ai companion,commercial,seed_modifier,,ai_overview;ai_overview_sitelink;video_th;image_th;sitelink;question;discussion;news,9,8,commercial-investigation,6,2,PASS,,true,4,yes-deep,PASS,Comparison/listicle intent — readers want options + opinion the AIO can't summarize. AIO underperforms here. [commercial_investigation_immune],,,,7.83,"base=7.83 (T=6.81,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
free ai porn chat,3500,47,3500,7,nastia.ai,,informational,competitor_gap,,,9,7,informational,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.70,"base=6.70 (T=4.74,BF=9,PF=7) boost=0.0 delta=+0.0",missing
what is the best ai companion,150,56,3500,,,ai companion,commercial,seed_modifier,,ai_overview;ai_overview_sitelink;image_th;video_th;question;sitelink;news,9,8,commercial-investigation,56,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
ai sexchat,3300,51,3300,12,candy.ai,,commercial,competitor_gap,,sitelink,9,6,informational,51,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.29,"base=6.29 (T=4.49,BF=9,PF=6) boost=0.0 delta=+0.0",missing
dirty ai,3300,12,3300,7,nastia.ai,,informational,competitor_gap,,paid_top;paid_bottom;paid_sitelink,7,8,informational,12,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.07,"base=7.07 (T=6.44,BF=7,PF=8) boost=0.0 delta=+0.0",missing
best ai girlfriend,3200,57,3200,5,candy.ai,,commercial,competitor_gap,,ai_overview;news;image_th;discussion;video_th;question,9,8,commercial-investigation,57,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai sex chat free,3100,56,3100,7,nastia.ai,,informational,competitor_gap,,,9,8,informational,56,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
romantic ai,3100,51,3100,8,nastia.ai,,commercial,competitor_gap,,sitelink,9,8,informational,51,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.87,"base=6.87 (T=4.43,BF=9,PF=8) boost=0.0 delta=+0.0",missing
girlfriend ai,2900,35,2900,3,candy.ai,,commercial,competitor_gap,,sitelink;question;news;video_th;image_th,7,6,informational,35,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.97,"base=5.97 (T=5.18,BF=7,PF=6) boost=0.0 delta=+0.0",missing
nsfw chat bot,2800,15,2800,8,candy.ai,,informational,competitor_gap,,sitelink,9,8,informational,15,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.56,"base=7.56 (T=6.14,BF=9,PF=8) boost=0.0 delta=+0.0",missing
naughty ai,2600,0,2600,9,nastia.ai,,commercial,competitor_gap,,,9,8,informational,0,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.83,"base=7.83 (T=6.83,BF=9,PF=8) boost=0.0 delta=+0.0",missing
nsfw ai chatbots,2500,28,2500,8,candy.ai,,informational,competitor_gap,,sitelink,9,8,informational,28,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.26,"base=7.26 (T=5.40,BF=9,PF=8) boost=0.0 delta=+0.0",missing
dream ai chat,1400,29,2470,1,ourdream.ai,,informational,competitor_gap,,,9,8,informational,29,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.23,"base=7.23 (T=5.34,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai bf,2400,55,2400,2,candy.ai,,commercial,competitor_gap,,video_th,9,4,informational,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
free ai gf,2400,49,2400,14,candy.ai,,informational,competitor_gap,,discussion;question;news;image_th;video_th,9,4,informational,49,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.62,"base=5.62 (T=4.31,BF=9,PF=4) boost=0.0 delta=+0.0",missing
horny ai,2300,19,2300,9,candy.ai,,commercial,competitor_gap,,,9,8,informational,19,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.41,"base=7.41 (T=5.77,BF=9,PF=8) boost=0.0 delta=+0.0",missing
free uncensored ai generator,2200,55,2200,5,nastia.ai,,informational,competitor_gap,,sitelink,9,7,tool-led,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
best nsfw ai chat,2200,24,2200,10,nastia.ai,,informational,competitor_gap,,sitelink,9,8,commercial-investigation,24,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.29,"base=7.29 (T=5.49,BF=9,PF=8) boost=0.0 delta=+0.0",missing
dream companion ai,1500,32,2100,,,dream companion,commercial,seed_modifier,,sitelink,7,6,informational,32,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.92,"base=5.92 (T=5.04,BF=7,PF=6) boost=0.0 delta=+0.0",seed_modifier
sext ai,2000,31,2000,5,candy.ai,,commercial,competitor_gap,,sitelink,9,4,informational,31,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.92,"base=5.92 (T=5.05,BF=9,PF=4) boost=0.0 delta=+0.0",missing
ai sexting free,2000,53,2000,3,nastia.ai,,informational,competitor_gap,,,9,8,informational,53,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai girl chat,1800,42,1800,5,candy.ai,,commercial,competitor_gap,,video_th,9,8,informational,42,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.86,"base=6.86 (T=4.41,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai porn girlfriend,1700,51,1700,11,candy.ai,,commercial,competitor_gap,,sitelink,9,7,informational,51,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.36,"base=6.36 (T=3.91,BF=9,PF=7) boost=0.0 delta=+0.0",missing
dream ai porn,1700,9,1700,12,ourdream.ai,,informational,competitor_gap,,sitelink,9,7,informational,9,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.20,"base=7.20 (T=6.01,BF=9,PF=7) boost=0.0 delta=+0.0",missing
free uncensored ai,1700,34,1700,9,nastia.ai,,informational,competitor_gap,,,9,4,informational,34,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.80,"base=5.80 (T=4.76,BF=9,PF=4) boost=0.0 delta=+0.0",missing
nsfw ai chat bots,1600,31,1600,8,candy.ai,,informational,competitor_gap,,sitelink,9,8,informational,31,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.04,"base=7.04 (T=4.86,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai companion app for adults,150,54,1600,,,ai companion app,commercial,seed_modifier,,discussion;question;sitelink;news;video_th;image_th,9,8,commercial-investigation,54,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
best free ai companion app,150,48,1500,,,ai companion app,informational,seed_modifier,,snippet;sitelink,9,8,commercial-investigation,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.68,"base=6.68 (T=3.95,BF=9,PF=8) boost=0.0 delta=+0.0",seed_modifier
ai dirty talk,1400,40,1400,6,nastia.ai,,informational,competitor_gap,,paid_top,9,4,informational,40,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.62,"base=5.62 (T=4.29,BF=9,PF=4) boost=0.0 delta=+0.0",missing
best ai girlfriend app,1300,31,1300,5,candy.ai,,commercial,competitor_gap,,,9,8,commercial-investigation,31,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.97,"base=6.97 (T=4.68,BF=9,PF=8) boost=0.0 delta=+0.0",missing
hentai chat,1300,53,1300,12,candy.ai,,informational,competitor_gap,,,9,8,informational,53,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
nsfw ai apps,1300,25,1300,7,nastia.ai,,commercial,competitor_gap,,sitelink,9,4,commercial-investigation,25,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.89,"base=5.89 (T=4.98,BF=9,PF=4) boost=0.0 delta=+0.0",missing
talk dirty ai,1300,8,1300,7,nastia.ai,,informational,competitor_gap,,,7,8,informational,8,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.83,"base=6.83 (T=5.83,BF=7,PF=8) boost=0.0 delta=+0.0",missing
virtual gf,1100,54,1100,3,candy.ai,,commercial,competitor_gap,,sitelink;video_th,4,4,informational,54,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai boyfriend app,1100,33,1100,10,candy.ai,,commercial,competitor_gap,,sitelink,9,8,commercial-investigation,33,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.87,"base=6.87 (T=4.43,BF=9,PF=8) boost=0.0 delta=+0.0",missing
create ai boyfriend,250,60,1025,1,candy.ai,,commercial,competitor_gap,,ai_overview;sitelink,9,8,informational,60,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai gf chat,1000,35,1000,4,candy.ai,,commercial,competitor_gap,,sitelink;discussion,9,8,informational,35,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.80,"base=6.80 (T=4.25,BF=9,PF=8) boost=0.0 delta=+0.0",missing
sexchat ai,1000,39,1000,12,candy.ai,,commercial,competitor_gap,,sitelink,7,6,informational,39,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.52,"base=5.52 (T=4.05,BF=7,PF=6) boost=0.0 delta=+0.0",missing
nude ai chat,1000,55,1000,5,nastia.ai,,informational,competitor_gap,,sitelink,9,8,informational,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
dirty talk ai,1000,20,1000,7,nastia.ai,,informational,competitor_gap,,,9,8,informational,20,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.10,"base=7.10 (T=5.00,BF=9,PF=8) boost=0.0 delta=+0.0",missing
sexting bot,900,34,900,5,candy.ai,,commercial,competitor_gap,,sitelink,9,8,informational,34,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.78,"base=6.78 (T=4.21,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai nsfw chatbot,900,50,900,9,candy.ai,,informational,competitor_gap,,,9,8,informational,50,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.46,"base=6.46 (T=3.41,BF=9,PF=8) boost=0.0 delta=+0.0",missing
dirty ai chat,900,33,900,11,candy.ai,,commercial,competitor_gap,,sitelink;news;image_th;discussion;video_th,9,8,informational,33,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.80,"base=6.80 (T=4.26,BF=9,PF=8) boost=0.0 delta=+0.0",missing
nsfw ai picture generator,900,40,900,15,ourdream.ai,,informational,competitor_gap,,sitelink,9,7,tool-led,40,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.36,"base=6.36 (T=3.91,BF=9,PF=7) boost=1.0 delta=+0.0",missing
uncensored chat,900,48,900,4,nastia.ai,,informational,competitor_gap,,sitelink;discussion;video_th,9,8,informational,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.50,"base=6.50 (T=3.51,BF=9,PF=8) boost=0.0 delta=+0.0",missing
best free ai girlfriend,800,48,800,8,candy.ai,,informational,competitor_gap,,sitelink,9,8,commercial-investigation,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.46,"base=6.46 (T=3.41,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai boyfriend chat,800,43,800,8,candy.ai,,commercial,competitor_gap,,sitelink;video_th,9,8,informational,43,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.56,"base=6.56 (T=3.66,BF=9,PF=8) boost=0.0 delta=+0.0",missing
boyfriend ai,800,50,800,10,candy.ai,,commercial,competitor_gap,,question;discussion;video_th,7,6,informational,50,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.22,"base=5.22 (T=3.31,BF=7,PF=6) boost=0.0 delta=+0.0",missing
ai dream girl,450,19,790,1,ourdream.ai,,informational,competitor_gap,,sitelink,5,6,informational,19,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.24,"base=5.24 (T=4.85,BF=5,PF=6) boost=0.0 delta=+0.0",missing
horny ai chat,700,26,700,7,candy.ai,,commercial,competitor_gap,,,9,8,informational,26,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.86,"base=6.86 (T=4.39,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai boyfriend free,700,55,700,8,candy.ai,,informational,competitor_gap,,,9,8,informational,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai sext chat,700,46,700,10,candy.ai,,informational,competitor_gap,,sitelink,9,6,informational,46,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.86,"base=5.86 (T=3.39,BF=9,PF=6) boost=0.0 delta=+0.0",missing
free nsfw chatbot,700,34,700,10,candy.ai,,informational,competitor_gap,,sitelink,9,8,informational,34,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.70,"base=6.70 (T=3.99,BF=9,PF=8) boost=0.0 delta=+0.0",missing
free sexting ai,700,57,700,4,nastia.ai,,informational,competitor_gap,,sitelink,9,8,informational,57,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
uncensored ai generator free,700,40,700,4,nastia.ai,,informational,competitor_gap,,sitelink,9,7,tool-led,40,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.28,"base=6.28 (T=3.69,BF=9,PF=7) boost=1.0 delta=+0.0",missing
sexy ai chatbot,600,42,600,7,candy.ai,,commercial,competitor_gap,,sitelink,9,8,informational,42,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.48,"base=6.48 (T=3.46,BF=9,PF=8) boost=0.0 delta=+0.0",missing
create your own ai girl,600,47,600,4,ourdream.ai,,commercial,competitor_gap,,video_th;question,9,8,informational,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.38,"base=6.38 (T=3.21,BF=9,PF=8) boost=0.0 delta=+0.0",missing
my ai girlfriend,600,48,600,13,ourdream.ai,,commercial,competitor_gap,,question;discussion;news;image_th;video_th;sitelink,9,8,informational,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.36,"base=6.36 (T=3.16,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai sexting bot,500,55,500,3,candy.ai,,informational,competitor_gap,,sitelink,9,8,informational,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai boyfriends,500,24,500,4,candy.ai,,informational,competitor_gap,,sitelink;news;video_th;question,9,8,informational,24,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.78,"base=6.78 (T=4.20,BF=9,PF=8) boost=0.0 delta=+0.0",missing
virtual girlfriend ai,500,55,500,5,candy.ai,,commercial,competitor_gap,,sitelink;news;image_th;video_th,9,8,informational,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai sexting app,500,48,500,8,candy.ai,,commercial,competitor_gap,,snippet;sitelink,9,8,commercial-investigation,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.30,"base=6.30 (T=3.00,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai chat boyfriend,500,38,500,8,candy.ai,,commercial,competitor_gap,,snippet;sitelink,9,8,informational,38,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.50,"base=6.50 (T=3.50,BF=9,PF=8) boost=0.0 delta=+0.0",missing
nasty ai,200,29,495,1,nastia.ai,,informational,competitor_gap,,sitelink;question;video_th,9,8,informational,29,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.68,"base=6.68 (T=3.94,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai chat girls,450,56,450,8,candy.ai,,commercial,competitor_gap,,,9,8,informational,56,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai furry porn generator,450,38,450,4,ourdream.ai,,informational,competitor_gap,,,3,7,tool-led,38,0,FAIL,low_brand_fit,,,,SKIPPED_BID_FAIL,,,,,,,missing
naked ai chat,450,57,450,8,ourdream.ai,,commercial,competitor_gap,,,9,8,informational,57,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai sex roleplay,450,30,450,2,nastia.ai,,commercial,competitor_gap,,sitelink,9,4,informational,30,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.42,"base=5.42 (T=3.81,BF=9,PF=4) boost=0.0 delta=+0.0",missing
best ai girlfriends,400,37,400,5,candy.ai,,commercial,competitor_gap,,,9,8,commercial-investigation,37,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.44,"base=6.44 (T=3.36,BF=9,PF=8) boost=0.0 delta=+0.0",missing
nsfw ai creator,400,45,400,4,ourdream.ai,,informational,competitor_gap,,sitelink,9,7,tool-led,45,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.98,"base=5.98 (T=2.96,BF=9,PF=7) boost=1.0 delta=+0.0",missing
ai chat gf,400,43,400,9,ourdream.ai,,commercial,competitor_gap,,sitelink,9,8,informational,43,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.32,"base=6.32 (T=3.06,BF=9,PF=8) boost=0.0 delta=+0.0",missing
best ai girlfriend apps,350,35,350,8,candy.ai,,commercial,competitor_gap,,ai_overview;video_th;sitelink;question;news;image_th,9,8,commercial-investigation,35,1,PASS,,true,4,yes-deep,PASS,Comparison/listicle intent — readers want options + opinion the AIO can't summarize. AIO underperforms here. [commercial_investigation_immune],,,,6.44,"base=6.44 (T=3.34,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai sexting chat,350,49,350,7,candy.ai,,commercial,competitor_gap,,sitelink,9,8,informational,49,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.16,"base=6.16 (T=2.64,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai chat girlfriend free,150,49,305,1,nastia.ai,,informational,competitor_gap,,sitelink,9,8,informational,49,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.11,"base=6.11 (T=2.52,BF=9,PF=8) boost=0.0 delta=+0.0",missing
chat ai girlfriend,300,50,300,4,candy.ai,,commercial,competitor_gap,,ai_overview;discussion,9,8,informational,50,0,PASS,,true,5,yes-deep,RISKY,"Niche/informational query — AIO gives a partial answer; readers click for depth, examples, or platform-specific guidance. [moderate_aio_completeness]",,,,6.08,"base=6.08 (T=2.46,BF=9,PF=8) boost=0.0 delta=+0.0",missing
best free ai porn generators,300,40,300,6,ourdream.ai,,informational,competitor_gap,,sitelink,9,7,commercial-investigation,40,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.98,"base=5.98 (T=2.96,BF=9,PF=7) boost=0.0 delta=+0.0",missing
best ai boyfriend,250,15,250,6,candy.ai,,commercial,competitor_gap,,ai_overview;image_th;question;sitelink,9,8,commercial-investigation,15,2,PASS,,true,4,yes-deep,PASS,Comparison/listicle intent — readers want options + opinion the AIO can't summarize. AIO underperforms here. [commercial_investigation_immune],,,,6.72,"base=6.72 (T=4.05,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai horny,250,45,250,6,ourdream.ai,,commercial,competitor_gap,,question,9,4,informational,45,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,4.92,"base=4.92 (T=2.55,BF=9,PF=4) boost=0.0 delta=+0.0",missing
furry porn ai generator,250,32,250,7,ourdream.ai,,informational,competitor_gap,,sitelink,9,7,tool-led,32,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.08,"base=6.08 (T=3.20,BF=9,PF=7) boost=1.0 delta=+0.0",missing
dream ai girl,100,55,205,1,ourdream.ai,,commercial,competitor_gap,,sitelink,9,6,informational,55,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
ai boyfriend chatbot,200,48,200,2,candy.ai,,commercial,competitor_gap,,sitelink,9,8,informational,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.98,"base=5.98 (T=2.21,BF=9,PF=8) boost=0.0 delta=+0.0",missing
my ai boyfriend,200,43,200,3,candy.ai,,informational,competitor_gap,,sitelink;discussion;question,9,8,informational,43,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.08,"base=6.08 (T=2.46,BF=9,PF=8) boost=0.0 delta=+0.0",missing
best free ai girlfriend app,200,38,200,4,candy.ai,,informational,competitor_gap,,sitelink,9,8,commercial-investigation,38,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.18,"base=6.18 (T=2.71,BF=9,PF=8) boost=0.0 delta=+0.0",missing
ai sexting chatbot,200,45,200,4,candy.ai,,informational,competitor_gap,,sitelink,9,8,informational,45,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,6.04,"base=6.04 (T=2.36,BF=9,PF=8) boost=0.0 delta=+0.0",missing
best ai gf app,200,60,200,4,candy.ai,,commercial,competitor_gap,,sitelink,9,4,commercial-investigation,60,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,missing
dirty talking ai,200,29,200,5,candy.ai,,informational,competitor_gap,,,9,4,informational,29,1,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.16,"base=5.16 (T=3.16,BF=9,PF=4) boost=0.0 delta=+0.0",missing
dream chat ai,100,24,185,1,ourdream.ai,,commercial,competitor_gap,,,7,6,informational,24,2,PASS,,false,,,PASS,No AIO present in SERP features.,,,,5.24,"base=5.24 (T=3.34,BF=7,PF=6) boost=0.0 delta=+0.0",missing
nsfw maker,100,44,180,1,ourdream.ai,,informational,competitor_gap,,sitelink,8,9,tool-led,44,0,PASS,,false,,,PASS,No AIO present in SERP features.,,,,7.03,"base=6.03 (T=2.32,BF=8,PF=9) boost=1.0 delta=+0.0",missing
ai generated boyfriend,90,42,160,2,candy.ai,,commercial,competitor_gap,,ai_overview;image_th;sitelink;news;video_th,7,6,informational,42,0,PASS,,true,5,yes-deep,RISKY,"Niche/informational query — AIO gives a partial answer; readers click for depth, examples, or platform-specific guidance. [moderate_aio_completeness]",,,,4.83,"base=4.83 (T=2.31,BF=7,PF=6) boost=0.0 delta=+0.0",missing
